Dags,Konnun,Flokkur,Fylgi
31.05.2004,Capacent,Vinstri grænir,"18,6"
30.06.2004,Capacent,Vinstri grænir,"17,5"
31.07.2004,Capacent,Vinstri grænir,"18,8"
31.08.2004,Capacent,Vinstri grænir,16
30.09.2004,Capacent,Vinstri grænir,"17,1"
31.10.2004,Capacent,Vinstri grænir,"17,7"
30.11.2004,Capacent,Vinstri grænir,"18,4"
31.12.2004,Capacent,Vinstri grænir,"19,3"
31.01.2005,Capacent,Vinstri grænir,"16,1"
28.02.2005,Capacent,Vinstri grænir,"15,8"
31.03.2005,Capacent,Vinstri grænir,"15,4"
30.04.2005,Capacent,Vinstri grænir,"15,5"
31.05.2005,Capacent,Vinstri grænir,"15,2"
30.06.2005,Capacent,Vinstri grænir,"15,9"
31.07.2005,Capacent,Vinstri grænir,"16,1"
31.08.2005,Capacent,Vinstri grænir,19
30.09.2005,Capacent,Vinstri grænir,"14,4"
31.10.2005,Capacent,Vinstri grænir,"16,8"
30.11.2005,Capacent,Vinstri grænir,"17,6"
31.12.2005,Capacent,Vinstri grænir,"17,8"
31.01.2006,Capacent,Vinstri grænir,"17,6"
28.02.2006,Capacent,Vinstri grænir,"15,9"
31.03.2006,Capacent,Vinstri grænir,"16,1"
30.04.2006,Capacent,Vinstri grænir,18
31.05.2006,Capacent,Vinstri grænir,"16,9"
30.06.2006,Capacent,Vinstri grænir,"19,4"
31.07.2006,Capacent,Vinstri grænir,"19,7"
31.08.2006,Capacent,Vinstri grænir,"21,5"
30.09.2006,Capacent,Vinstri grænir,20
31.10.2006,Capacent,Vinstri grænir,"20,1"
30.11.2006,Capacent,Vinstri grænir,"18,5"
31.12.2006,Capacent,Vinstri grænir,"18,7"
31.01.2007,Capacent,Vinstri grænir,"20,8"
28.02.2007,Capacent,Vinstri grænir,"23,5"
31.03.2007,Capacent,Vinstri grænir,"26,3"
30.04.2007,Capacent,Vinstri grænir,"21,3"
31.05.2007,Capacent,Vinstri grænir,15
30.06.2007,Capacent,Vinstri grænir,"15,2"
31.07.2007,Capacent,Vinstri grænir,"13,1"
31.08.2007,Capacent,Vinstri grænir,"15,7"
30.09.2007,Capacent,Vinstri grænir,"15,7"
31.10.2007,Capacent,Vinstri grænir,"15,9"
30.11.2007,Capacent,Vinstri grænir,"16,7"
31.12.2007,Capacent,Vinstri grænir,"15,4"
31.01.2008,Capacent,Vinstri grænir,"15,4"
29.02.2008,Capacent,Vinstri grænir,"15,7"
31.03.2008,Capacent,Vinstri grænir,"16,7"
30.04.2008,Capacent,Vinstri grænir,"21,3"
31.05.2008,Capacent,Vinstri grænir,"21,9"
30.06.2008,Capacent,Vinstri grænir,"20,4"
31.07.2008,Capacent,Vinstri grænir,"21,8"
31.08.2008,Capacent,Vinstri grænir,"19,2"
30.09.2008,Capacent,Vinstri grænir,"20,5"
31.10.2008,Capacent,Vinstri grænir,"27,3"
30.11.2008,Capacent,Vinstri grænir,"32,2"
31.12.2008,Capacent,Vinstri grænir,29
31.01.2009,Capacent,Vinstri grænir,"29,8"
28.02.2009,Capacent,Vinstri grænir,"24,3"
31.03.2009,Capacent,Vinstri grænir,"26,2"
30.04.2009,Capacent,Vinstri grænir,"26,9"
31.05.2009,Capacent,Vinstri grænir,"22,1"
30.06.2009,Capacent,Vinstri grænir,"18,4"
31.07.2009,Capacent,Vinstri grænir,"19,1"
31.08.2009,Capacent,Vinstri grænir,"21,6"
30.09.2009,Capacent,Vinstri grænir,"22,3"
31.10.2009,Capacent,Vinstri grænir,23
30.11.2009,Capacent,Vinstri grænir,"22,6"
31.12.2009,Capacent,Vinstri grænir,"23,4"
31.01.2010,Capacent,Vinstri grænir,"25,1"
28.02.2010,Capacent,Vinstri grænir,"25,5"
31.03.2010,Capacent,Vinstri grænir,"23,6"
30.04.2010,Capacent,Vinstri grænir,"26,1"
31.05.2010,Capacent,Vinstri grænir,27
30.06.2010,Capacent,Vinstri grænir,"21,5"
31.07.2010,Capacent,Vinstri grænir,"19,1"
31.08.2010,Capacent,Vinstri grænir,"20,8"
30.09.2010,Capacent,Vinstri grænir,"20,7"
31.10.2010,Capacent,Vinstri grænir,"18,1"
30.11.2010,Capacent,Vinstri grænir,"17,7"
31.12.2010,Capacent,Vinstri grænir,"17,6"
31.01.2011,Capacent,Vinstri grænir,"19,3"
28.02.2011,Capacent,Vinstri grænir,"17,5"
31.03.2011,Capacent,Vinstri grænir,"16,9"
30.04.2011,Capacent,Vinstri grænir,"15,2"
31.05.2011,Capacent,Vinstri grænir,"15,8"
30.06.2011,Capacent,Vinstri grænir,"16,4"
31.07.2011,Capacent,Vinstri grænir,"16,6"
31.08.2011,Capacent,Vinstri grænir,"14,3"
30.09.2011,Capacent,Vinstri grænir,"14,7"
31.10.2011,Capacent,Vinstri grænir,"14,5"
30.11.2011,Capacent,Vinstri grænir,"13,5"
31.12.2011,Capacent,Vinstri grænir,"13,5"
31.01.2012,Capacent,Vinstri grænir,"13,7"
29.02.2012,Capacent,Vinstri grænir,12
31.03.2012,Capacent,Vinstri grænir,"11,2"
30.04.2012,Capacent,Vinstri grænir,"11,5"
31.05.2012,Capacent,Vinstri grænir,"10,4"
30.06.2012,Capacent,Vinstri grænir,"11,9"
31.07.2012,Capacent,Vinstri grænir,"12,2"
31.08.2012,Capacent,Vinstri grænir,"13,3"
30.09.2012,Capacent,Vinstri grænir,"12,4"
31.10.2012,Capacent,Vinstri grænir,"11,7"
30.11.2012,Capacent,Vinstri grænir,"10,6"
31.12.2012,Capacent,Vinstri grænir,"9,1"
31.01.2013,Capacent,Vinstri grænir,"7,9"
28.02.2013,Capacent,Vinstri grænir,"7,4"
14.03.2013,Capacent,Vinstri grænir,"8,9"
02.04.2013,Capacent,Vinstri grænir,"8,5"
11.04.2013,Capacent,Vinstri grænir,"7,4"
18.04.2013,Capacent,Vinstri grænir,"8,8"
26.04.2013,Capacent,Vinstri grænir,10
31.05.2013,Capacent,Vinstri grænir,"12,9"
30.06.2013,Capacent,Vinstri grænir,"13,2"
31.07.2013,Capacent,Vinstri grænir,"15,6"
31.08.2013,Capacent,Vinstri grænir,"14,6"
30.09.2013,Capacent,Vinstri grænir,"14,8"
31.10.2013,Capacent,Vinstri grænir,"14,4"
30.11.2013,Capacent,Vinstri grænir,"13,5"
31.12.2013,Capacent,Vinstri grænir,"13,3"
31.01.2014,Capacent,Vinstri grænir,"12,7"
31.05.2004,Capacent,Framsóknarflokkur,"13,6"
30.06.2004,Capacent,Framsóknarflokkur,13
31.07.2004,Capacent,Framsóknarflokkur,"12,5"
31.08.2004,Capacent,Framsóknarflokkur,"14,5"
30.09.2004,Capacent,Framsóknarflokkur,"13,1"
31.10.2004,Capacent,Framsóknarflokkur,"12,4"
30.11.2004,Capacent,Framsóknarflokkur,"11,3"
31.12.2004,Capacent,Framsóknarflokkur,"12,1"
31.01.2005,Capacent,Framsóknarflokkur,"12,4"
28.02.2005,Capacent,Framsóknarflokkur,"10,2"
31.03.2005,Capacent,Framsóknarflokkur,"11,5"
30.04.2005,Capacent,Framsóknarflokkur,10
31.05.2005,Capacent,Framsóknarflokkur,"8,5"
30.06.2005,Capacent,Framsóknarflokkur,"8,7"
31.07.2005,Capacent,Framsóknarflokkur,"8,9"
31.08.2005,Capacent,Framsóknarflokkur,"10,5"
30.09.2005,Capacent,Framsóknarflokkur,"9,4"
31.10.2005,Capacent,Framsóknarflokkur,"10,1"
30.11.2005,Capacent,Framsóknarflokkur,"10,7"
31.12.2005,Capacent,Framsóknarflokkur,"10,6"
31.01.2006,Capacent,Framsóknarflokkur,"10,5"
28.02.2006,Capacent,Framsóknarflokkur,"9,5"
31.03.2006,Capacent,Framsóknarflokkur,"8,9"
30.04.2006,Capacent,Framsóknarflokkur,"9,3"
31.05.2006,Capacent,Framsóknarflokkur,"9,8"
30.06.2006,Capacent,Framsóknarflokkur,9
31.07.2006,Capacent,Framsóknarflokkur,"9,6"
31.08.2006,Capacent,Framsóknarflokkur,"9,1"
30.09.2006,Capacent,Framsóknarflokkur,"8,8"
31.10.2006,Capacent,Framsóknarflokkur,"8,3"
30.11.2006,Capacent,Framsóknarflokkur,"8,1"
31.12.2006,Capacent,Framsóknarflokkur,"8,8"
31.01.2007,Capacent,Framsóknarflokkur,"8,8"
28.02.2007,Capacent,Framsóknarflokkur,10
31.03.2007,Capacent,Framsóknarflokkur,"8,1"
30.04.2007,Capacent,Framsóknarflokkur,"8,9"
31.05.2007,Capacent,Framsóknarflokkur,"9,7"
30.06.2007,Capacent,Framsóknarflokkur,9
31.07.2007,Capacent,Framsóknarflokkur,8
31.08.2007,Capacent,Framsóknarflokkur,"8,8"
30.09.2007,Capacent,Framsóknarflokkur,"8,6"
31.10.2007,Capacent,Framsóknarflokkur,"9,5"
30.11.2007,Capacent,Framsóknarflokkur,"8,3"
31.12.2007,Capacent,Framsóknarflokkur,"8,7"
31.01.2008,Capacent,Framsóknarflokkur,"7,6"
29.02.2008,Capacent,Framsóknarflokkur,7
31.03.2008,Capacent,Framsóknarflokkur,8
30.04.2008,Capacent,Framsóknarflokkur,"9,5"
31.05.2008,Capacent,Framsóknarflokkur,"8,1"
30.06.2008,Capacent,Framsóknarflokkur,"9,1"
31.07.2008,Capacent,Framsóknarflokkur,"9,5"
31.08.2008,Capacent,Framsóknarflokkur,"9,7"
30.09.2008,Capacent,Framsóknarflokkur,"9,9"
31.10.2008,Capacent,Framsóknarflokkur,"10,4"
30.11.2008,Capacent,Framsóknarflokkur,"7,6"
31.12.2008,Capacent,Framsóknarflokkur,"7,6"
31.01.2009,Capacent,Framsóknarflokkur,"15,2"
28.02.2009,Capacent,Framsóknarflokkur,"14,1"
31.03.2009,Capacent,Framsóknarflokkur,"11,8"
30.04.2009,Capacent,Framsóknarflokkur,"10,4"
31.05.2009,Capacent,Framsóknarflokkur,"14,5"
30.06.2009,Capacent,Framsóknarflokkur,"17,2"
31.07.2009,Capacent,Framsóknarflokkur,"17,4"
31.08.2009,Capacent,Framsóknarflokkur,"14,8"
30.09.2009,Capacent,Framsóknarflokkur,"17,8"
31.10.2009,Capacent,Framsóknarflokkur,"16,4"
30.11.2009,Capacent,Framsóknarflokkur,"15,7"
31.12.2009,Capacent,Framsóknarflokkur,"14,5"
31.01.2010,Capacent,Framsóknarflokkur,"12,7"
28.02.2010,Capacent,Framsóknarflokkur,"14,4"
31.03.2010,Capacent,Framsóknarflokkur,"14,2"
30.04.2010,Capacent,Framsóknarflokkur,"13,8"
31.05.2010,Capacent,Framsóknarflokkur,"13,8"
30.06.2010,Capacent,Framsóknarflokkur,"12,2"
31.07.2010,Capacent,Framsóknarflokkur,"12,4"
31.08.2010,Capacent,Framsóknarflokkur,12
30.09.2010,Capacent,Framsóknarflokkur,"11,8"
31.10.2010,Capacent,Framsóknarflokkur,12
30.11.2010,Capacent,Framsóknarflokkur,"12,9"
31.12.2010,Capacent,Framsóknarflokkur,"13,5"
31.01.2011,Capacent,Framsóknarflokkur,"13,4"
28.02.2011,Capacent,Framsóknarflokkur,"13,6"
31.03.2011,Capacent,Framsóknarflokkur,"13,6"
30.04.2011,Capacent,Framsóknarflokkur,"15,7"
31.05.2011,Capacent,Framsóknarflokkur,"16,3"
30.06.2011,Capacent,Framsóknarflokkur,"17,6"
31.07.2011,Capacent,Framsóknarflokkur,"16,2"
31.08.2011,Capacent,Framsóknarflokkur,"16,8"
30.09.2011,Capacent,Framsóknarflokkur,"15,5"
31.10.2011,Capacent,Framsóknarflokkur,"15,5"
30.11.2011,Capacent,Framsóknarflokkur,"14,6"
31.12.2011,Capacent,Framsóknarflokkur,"14,4"
31.01.2012,Capacent,Framsóknarflokkur,"15,4"
29.02.2012,Capacent,Framsóknarflokkur,13
31.03.2012,Capacent,Framsóknarflokkur,13
30.04.2012,Capacent,Framsóknarflokkur,"12,5"
31.05.2012,Capacent,Framsóknarflokkur,"12,9"
30.06.2012,Capacent,Framsóknarflokkur,"12,7"
31.07.2012,Capacent,Framsóknarflokkur,"12,4"
31.08.2012,Capacent,Framsóknarflokkur,"13,8"
30.09.2012,Capacent,Framsóknarflokkur,"14,2"
31.10.2012,Capacent,Framsóknarflokkur,"12,1"
30.11.2012,Capacent,Framsóknarflokkur,"12,7"
31.12.2012,Capacent,Framsóknarflokkur,"13,1"
31.01.2013,Capacent,Framsóknarflokkur,"14,2"
28.02.2013,Capacent,Framsóknarflokkur,"22,1"
14.03.2013,Capacent,Framsóknarflokkur,"25,5"
02.04.2013,Capacent,Framsóknarflokkur,"28,3"
11.04.2013,Capacent,Framsóknarflokkur,"29,6"
18.04.2013,Capacent,Framsóknarflokkur,"26,7"
26.04.2013,Capacent,Framsóknarflokkur,"24,7"
31.05.2013,Capacent,Framsóknarflokkur,"21,4"
30.06.2013,Capacent,Framsóknarflokkur,"19,9"
31.07.2013,Capacent,Framsóknarflokkur,"17,8"
31.08.2013,Capacent,Framsóknarflokkur,"16,3"
30.09.2013,Capacent,Framsóknarflokkur,"17,6"
31.10.2013,Capacent,Framsóknarflokkur,"14,4"
30.11.2013,Capacent,Framsóknarflokkur,"14,7"
31.12.2013,Capacent,Framsóknarflokkur,"16,4"
31.01.2014,Capacent,Framsóknarflokkur,"18,3"
31.05.2004,Capacent,Samfylkingin,"32,9"
30.06.2004,Capacent,Samfylkingin,"33,6"
31.07.2004,Capacent,Samfylkingin,"32,3"
31.08.2004,Capacent,Samfylkingin,"31,9"
30.09.2004,Capacent,Samfylkingin,"30,2"
31.10.2004,Capacent,Samfylkingin,"31,6"
30.11.2004,Capacent,Samfylkingin,"31,2"
31.12.2004,Capacent,Samfylkingin,"30,2"
31.01.2005,Capacent,Samfylkingin,34
28.02.2005,Capacent,Samfylkingin,"32,5"
31.03.2005,Capacent,Samfylkingin,"28,7"
30.04.2005,Capacent,Samfylkingin,"31,6"
31.05.2005,Capacent,Samfylkingin,"33,9"
30.06.2005,Capacent,Samfylkingin,"33,3"
31.07.2005,Capacent,Samfylkingin,"32,2"
31.08.2005,Capacent,Samfylkingin,"29,6"
30.09.2005,Capacent,Samfylkingin,"28,7"
31.10.2005,Capacent,Samfylkingin,"27,8"
30.11.2005,Capacent,Samfylkingin,"25,5"
31.12.2005,Capacent,Samfylkingin,"27,4"
31.01.2006,Capacent,Samfylkingin,27
28.02.2006,Capacent,Samfylkingin,"29,3"
31.03.2006,Capacent,Samfylkingin,"31,4"
30.04.2006,Capacent,Samfylkingin,"29,8"
31.05.2006,Capacent,Samfylkingin,"29,2"
30.06.2006,Capacent,Samfylkingin,25
31.07.2006,Capacent,Samfylkingin,"24,6"
31.08.2006,Capacent,Samfylkingin,"25,2"
30.09.2006,Capacent,Samfylkingin,"26,6"
31.10.2006,Capacent,Samfylkingin,"25,1"
30.11.2006,Capacent,Samfylkingin,"24,7"
31.12.2006,Capacent,Samfylkingin,"23,9"
31.01.2007,Capacent,Samfylkingin,"22,2"
28.02.2007,Capacent,Samfylkingin,"22,5"
31.03.2007,Capacent,Samfylkingin,"20,5"
30.04.2007,Capacent,Samfylkingin,"20,8"
31.05.2007,Capacent,Samfylkingin,"26,5"
30.06.2007,Capacent,Samfylkingin,"28,5"
31.07.2007,Capacent,Samfylkingin,"27,5"
31.08.2007,Capacent,Samfylkingin,"28,8"
30.09.2007,Capacent,Samfylkingin,"27,2"
31.10.2007,Capacent,Samfylkingin,"27,9"
30.11.2007,Capacent,Samfylkingin,"31,2"
31.12.2007,Capacent,Samfylkingin,"30,3"
31.01.2008,Capacent,Samfylkingin,31
29.02.2008,Capacent,Samfylkingin,"34,7"
31.03.2008,Capacent,Samfylkingin,"32,5"
30.04.2008,Capacent,Samfylkingin,"25,8"
31.05.2008,Capacent,Samfylkingin,"30,6"
30.06.2008,Capacent,Samfylkingin,"29,8"
31.07.2008,Capacent,Samfylkingin,"29,4"
31.08.2008,Capacent,Samfylkingin,"33,4"
30.09.2008,Capacent,Samfylkingin,"32,5"
31.10.2008,Capacent,Samfylkingin,"31,3"
30.11.2008,Capacent,Samfylkingin,"31,4"
31.12.2008,Capacent,Samfylkingin,"28,1"
31.01.2009,Capacent,Samfylkingin,"21,7"
28.02.2009,Capacent,Samfylkingin,"29,1"
31.03.2009,Capacent,Samfylkingin,"29,3"
30.04.2009,Capacent,Samfylkingin,"31,9"
31.05.2009,Capacent,Samfylkingin,"28,4"
30.06.2009,Capacent,Samfylkingin,"24,8"
31.07.2009,Capacent,Samfylkingin,"25,1"
31.08.2009,Capacent,Samfylkingin,"27,2"
30.09.2009,Capacent,Samfylkingin,"26,5"
31.10.2009,Capacent,Samfylkingin,"25,3"
30.11.2009,Capacent,Samfylkingin,"26,4"
31.12.2009,Capacent,Samfylkingin,"24,1"
31.01.2010,Capacent,Samfylkingin,25
28.02.2010,Capacent,Samfylkingin,23
31.03.2010,Capacent,Samfylkingin,"23,7"
30.04.2010,Capacent,Samfylkingin,"22,4"
31.05.2010,Capacent,Samfylkingin,"22,1"
30.06.2010,Capacent,Samfylkingin,"22,9"
31.07.2010,Capacent,Samfylkingin,"24,1"
31.08.2010,Capacent,Samfylkingin,"24,6"
30.09.2010,Capacent,Samfylkingin,"23,1"
31.10.2010,Capacent,Samfylkingin,"17,5"
30.11.2010,Capacent,Samfylkingin,"21,6"
31.12.2010,Capacent,Samfylkingin,"23,6"
31.01.2011,Capacent,Samfylkingin,"22,1"
28.02.2011,Capacent,Samfylkingin,"23,2"
31.03.2011,Capacent,Samfylkingin,"22,4"
30.04.2011,Capacent,Samfylkingin,"21,3"
31.05.2011,Capacent,Samfylkingin,"22,8"
30.06.2011,Capacent,Samfylkingin,"21,5"
31.07.2011,Capacent,Samfylkingin,"22,6"
31.08.2011,Capacent,Samfylkingin,"21,9"
30.09.2011,Capacent,Samfylkingin,"21,7"
31.10.2011,Capacent,Samfylkingin,"21,3"
30.11.2011,Capacent,Samfylkingin,"21,8"
31.12.2011,Capacent,Samfylkingin,21
31.01.2012,Capacent,Samfylkingin,"21,8"
29.02.2012,Capacent,Samfylkingin,"18,7"
31.03.2012,Capacent,Samfylkingin,"17,5"
30.04.2012,Capacent,Samfylkingin,"18,7"
31.05.2012,Capacent,Samfylkingin,"17,7"
30.06.2012,Capacent,Samfylkingin,"18,8"
31.07.2012,Capacent,Samfylkingin,21
31.08.2012,Capacent,Samfylkingin,"20,7"
30.09.2012,Capacent,Samfylkingin,"19,4"
31.10.2012,Capacent,Samfylkingin,"22,1"
30.11.2012,Capacent,Samfylkingin,"22,5"
31.12.2012,Capacent,Samfylkingin,"19,1"
31.01.2013,Capacent,Samfylkingin,"15,6"
28.02.2013,Capacent,Samfylkingin,"15,4"
14.03.2013,Capacent,Samfylkingin,14
02.04.2013,Capacent,Samfylkingin,15
11.04.2013,Capacent,Samfylkingin,"11,8"
18.04.2013,Capacent,Samfylkingin,"15,2"
26.04.2013,Capacent,Samfylkingin,"14,6"
31.05.2013,Capacent,Samfylkingin,"15,5"
30.06.2013,Capacent,Samfylkingin,"15,3"
31.07.2013,Capacent,Samfylkingin,14
31.08.2013,Capacent,Samfylkingin,17
30.09.2013,Capacent,Samfylkingin,"15,8"
31.10.2013,Capacent,Samfylkingin,"18,1"
30.11.2013,Capacent,Samfylkingin,"16,6"
31.12.2013,Capacent,Samfylkingin,"15,1"
31.01.2014,Capacent,Samfylkingin,"14,9"
31.05.2004,Capacent,Sjálfstæðisflokkur,"29,2"
30.06.2004,Capacent,Sjálfstæðisflokkur,"31,1"
31.07.2004,Capacent,Sjálfstæðisflokkur,"30,9"
31.08.2004,Capacent,Sjálfstæðisflokkur,"33,2"
30.09.2004,Capacent,Sjálfstæðisflokkur,"35,5"
31.10.2004,Capacent,Sjálfstæðisflokkur,"34,2"
30.11.2004,Capacent,Sjálfstæðisflokkur,"34,8"
31.12.2004,Capacent,Sjálfstæðisflokkur,"34,6"
31.01.2005,Capacent,Sjálfstæðisflokkur,"33,3"
28.02.2005,Capacent,Sjálfstæðisflokkur,"37,4"
31.03.2005,Capacent,Sjálfstæðisflokkur,38
30.04.2005,Capacent,Sjálfstæðisflokkur,"36,7"
